material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0804
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1763
AL6061,Aluminium legering 6061-T6,Aluminium,4.3326
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8759
316,Roestvast staal 316L (plaat),RVS,3.8713
304,Roestvast staal 304 (plaat),RVS,3.5163
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0406
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.2729
CuZn37,Messing CuZn37 (plaat),Messing,8.4185
CuETP,Koper elektrolytisch (plaat),Koper,8.8395
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.5941
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7505
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1533
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4686
PTFE,Teflon PTFE (plaat),Kunststof,18.2735
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8221
